iter	Passed	Remaining
0	0	93
1	1	93
2	2	90
3	3	80
4	4	77
5	4	76
6	5	76
7	6	76
8	7	76
9	8	75
10	9	75
11	10	74
12	11	74
13	11	73
14	12	72
15	13	70
16	14	70
17	15	69
18	16	69
19	17	69
20	18	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	29	56
34	30	57
35	31	56
36	32	55
37	33	55
38	34	54
39	35	53
40	36	52
41	36	51
42	38	50
43	39	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	72	16
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
